tconst,num_seasons,num_episodes,long
tt0078682,4,34,0
tt0078690,2,21,0
tt0078691,2,60,0
tt0078692,3,77,0
tt0078703,4,22,0
tt0078707,2,13,0
tt0078713,4,31,0
tt0080192,2,16,0
tt0080194,2,35,0
tt0080202,2,37,0
tt0080208,2,14,0
tt0080216,2,29,0
tt0080219,3,59,0
tt0080223,2,13,0
tt0080229,3,20,0
tt0080253,4,29,0
tt0080258,2,17,0
tt0080259,2,10,0
tt0080261,3,20,0
tt0080266,2,21,0
tt0080267,3,27,0
tt0080268,2,14,0
tt0080269,2,26,0
tt0080285,2,6,0
tt0080286,2,28,0
tt0080294,2,31,0
tt0080301,2,150,0
tt0080306,3,22,0
tt0080308,3,19,0
tt0081828,2,13,0
tt0081838,4,28,0
tt0081840,2,14,0
tt0081861,2,34,0
tt0081863,2,38,0
tt0081866,3,20,0
tt0081871,3,44,0
tt0081872,2,30,0
tt0081877,3,21,0
tt0081887,2,10,0
tt0081890,2,5,0
tt0081891,2,13,0
tt0081893,2,19,0
tt0081896,2,44,0
tt0081909,2,25,0
tt0081918,3,39,0
tt0081921,2,12,0
tt0081925,2,39,0
tt0081927,2,13,0
tt0081931,3,19,0
tt0081934,2,13,0
tt0081936,2,13,0
tt0081941,2,52,0
tt0081944,3,30,0
tt0081946,3,17,0
tt0081951,3,78,0
tt0081953,2,20,0
tt0081961,3,231,0
tt0082448,2,26,0
tt0082732,2,52,0
tt0083380,4,164,0
tt0083389,2,14,0
tt0083393,2,20,0
tt0083394,3,85,0
tt0083408,2,12,0
tt0083415,2,15,0
tt0083416,4,26,0
tt0083418,2,12,0
tt0083421,2,14,0
tt0083427,2,4,0
tt0083429,4,14,0
tt0083432,2,10,0
tt0083433,2,17,0
tt0083437,4,86,0
tt0083442,2,12,0
tt0083447,3,67,0
tt0083461,3,36,0
tt0083473,4,79,0
tt0083481,3,24,0
tt0083485,2,12,0
tt0083491,2,21,0
tt0083495,2,12,0
tt0083505,2,12,0
tt0084969,2,30,0
tt0084977,2,16,0
tt0084980,3,40,0
tt0084991,3,32,0
tt0084992,2,26,0
tt0084996,2,18,0
tt0085004,3,21,0
tt0085008,2,26,0
tt0085010,2,20,0
tt0085011,3,28,0
tt0085014,2,14,0
tt0085024,2,18,0
tt0085029,3,67,0
tt0085033,2,86,0
tt0085040,3,22,0
tt0085045,2,13,0
tt0085046,3,5,0
tt0085057,2,24,0
tt0085064,2,12,0
tt0085066,2,13,0
tt0085068,2,13,0
tt0085080,2,13,0
tt0085088,4,88,0
tt0085090,2,23,0
tt0085096,3,36,0
tt0085099,3,39,0
tt0085105,3,22,0
tt0085108,2,46,0
tt0085111,2,12,0
tt0085985,2,18,0
tt0086661,2,13,0
tt0086662,3,55,0
tt0086669,3,30,0
tt0086674,2,13,0
tt0086680,3,19,0
tt0086691,2,35,0
