tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0076987,4,52,0,Blake's 7,1978,1981,0,8,4321
tt0077004,2,31,0,The Duchess of Duke Street,1976,1977,0,8.2,1494
tt0077027,3,29,0,How the West Was Won,1976,1979,0,8.2,2462
tt0077051,4,24,0,Matador,1978,1982,0,9.3,5127
tt0077053,4,94,0,Mork & Mindy,1978,1982,0,7.1,12259
tt0077058,4,58,0,The Paper Chase,1978,1986,0,8.1,1029
tt0077093,3,69,0,Vega$,1978,1981,0,6.9,2166
tt0077097,4,90,0,WKRP in Cincinnati,1978,1982,0,8,10761
tt0077101,3,54,0,The White Shadow,1978,1981,0,8,1423
tt0078562,4,97,0,Archie Bunker's Place,1979,1983,0,6.3,1411
tt0078564,3,47,0,B.J. and the Bear,1978,1981,0,6.4,1906
tt0078579,2,32,0,Buck Rogers in the 25th Century,1979,1981,0,6.9,10033
tt0078659,2,52,0,Saiyûki,1978,2004,0,8.4,2039
tt0078662,2,24,0,Flash Gordon,1979,1982,0,6.9,1033
tt0078679,2,28,0,The Ropers,1979,1980,0,5.9,1088
tt0078682,4,34,0,Sapphire & Steel,1979,1982,0,7.9,1777
tt0078692,3,77,0,Star Blazers,1979,1984,0,8.4,1523
tt0078703,4,22,0,To the Manor Born,1979,2007,0,7.4,2578
tt0078713,4,31,0,Worzel Gummidge,1979,1981,0,7.2,1025
tt0080202,2,37,0,Bosom Buddies,1980,1982,0,6.8,4431
tt0080253,4,29,0,Not the Nine O'Clock News,1979,1982,0,7.9,2721
tt0080306,3,22,0,Yes Minister,1980,1984,0,8.7,15937
tt0081838,4,28,0,Butterflies,1978,1983,0,6.9,1258
tt0081871,3,44,0,The Greatest American Hero,1981,1983,0,7.3,6353
tt0081925,2,39,0,SCTV Network 90,1981,1983,0,8.4,2117
tt0081961,3,231,0,"Wetten, dass..?",1981,Ongoing,0,6,1250
tt0082732,2,52,0,Meister Eder und sein Pumuckl,1982,1989,0,7.6,1984
tt0083437,4,86,0,Knight Rider,1982,1986,0,6.9,36564
tt0083447,3,67,0,Matt Houston,1982,1985,0,6.5,1387
tt0083481,3,24,0,Spider-Man and His Amazing Friends,1981,1986,0,7.2,3889
tt0083505,2,12,0,The Young Ones,1982,1984,0,8.2,15997
tt0084980,3,40,0,Bananaman,1983,1986,0,6.7,1759
tt0084996,2,18,0,The Charlie Brown and Snoopy Show,1983,1985,0,7.4,1836
tt0085011,3,28,0,Dungeons & Dragons,1983,1985,0,8,5931
tt0085029,3,67,0,Hardcastle and McCormick,1983,1986,0,6.6,3090
tt0085033,2,86,0,Inspector Gadget,1983,1986,0,6.8,22569
tt0085040,3,22,0,Just Good Friends,1983,1986,0,7.1,1113
tt0085088,4,88,0,Scarecrow and Mrs. King,1983,1987,0,7,3625
tt0085096,3,36,0,SuperTed,1983,1986,0,6.8,1569
tt0086661,2,13,0,The Adventures of Sherlock Holmes,1984,1985,0,8.7,23538
tt0086662,3,55,0,Airwolf,1984,1986,0,6.7,12608
tt0086719,2,85,0,G.I. Joe,1985,1986,0,7.7,5488
tt0086760,3,47,0,Mike Hammer,1984,1989,0,6.9,1207
tt0086787,4,88,0,Punky Brewster,1984,1988,0,6.5,5946
tt0086789,3,56,0,Riptide,1984,1986,0,6.8,3089
