tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0090418,7,163,1,Designing Women,1986,1993,1,7.2,6686
tt0090444,5,114,1,Head of the Class,1986,1991,1,6.6,3228
tt0090466,8,171,1,L.A. Law,1986,1994,1,7.1,6047
tt0090477,6,73,1,Lovejoy,1986,1994,1,7.9,3719
tt0090481,9,181,1,Matlock,1986,1995,1,7.1,8812
tt0090493,9,5869,1,The Oprah Winfrey Show,1986,2011,1,5.1,5353
tt0090500,5,45,1,Pee-wee's Playhouse,1986,1991,1,8.1,5168
tt0090501,8,151,1,Perfect Strangers,1986,1993,1,7.2,10751
tt0090506,7,140,1,The Real Ghost Busters,1986,1991,1,7.6,10620
tt0090523,9,1175,1,Siskel & Ebert & the Movies,1986,2010,1,8.6,2235
tt0090540,6,110,1,Valerie,1986,1991,1,6.6,1907
tt0091211,6,152,1,Hokuto no Ken,1984,1988,1,8.2,3444
tt0092312,5,102,1,21 Jump Street,1987,1991,1,7.2,13635
tt0092322,9,1250,1,Biography,1987,Ongoing,1,7.7,2062
tt0092339,6,144,1,A Different World,1987,1993,1,7,7611
tt0092355,6,52,1,French and Saunders,1987,2017,1,7.6,3640
tt0092359,8,193,1,Full House,1987,1995,1,6.8,61555
tt0092379,8,33,1,Inspector Morse,1987,2000,1,8.2,13707
tt0092381,5,103,1,Jake and the Fatman,1987,1992,1,6.4,3136
tt0092400,9,263,1,Married with Children,1987,1997,1,8.1,108576
tt0092455,7,176,1,Star Trek: The Next Generation,1987,1994,1,8.7,130879
tt0094415,9,772,1,America's Most Wanted,1988,2013,1,7.2,2195
tt0094416,9,380,1,American Experience,1987,Ongoing,1,8.6,2110
tt0094455,7,170,1,Empty Nest,1988,1995,1,6.6,3799
tt0094460,6,1123,1,Family Feud,1988,1995,1,6.6,1048
tt0094469,7,122,1,Garfield and Friends,1988,1995,1,7.2,12665
tt0094484,8,146,1,In the Heat of the Night,1988,1995,1,7.6,5855
tt0094514,9,260,1,Murphy Brown,1988,2018,1,6.9,10327
tt0094517,9,199,1,Mystery Science Theater 3000,1988,1999,1,8.6,25427
tt0094525,9,70,1,Poirot,1989,2013,1,8.6,49685
tt0094535,9,73,1,Red Dwarf,1988,Ongoing,1,8.4,36629
tt0094540,9,230,1,Roseanne,1988,2018,1,7,45279
tt0094574,9,608,1,Unsolved Mysteries,1987,2010,1,8.3,6406
tt0094580,9,136,1,Whose Line Is It Anyway?,1988,1999,1,8.2,5832
tt0094582,6,115,1,The Wonder Years,1988,1993,1,8.4,39707
tt0096532,8,158,1,American Gladiators,1989,1996,1,6.6,3125
tt0096542,9,242,1,Baywatch,1989,2001,1,5.4,29458
tt0096545,9,129,1,Birds of a Feather,1989,2020,1,6.2,2373
tt0096555,9,1315,1,Casualty,1986,Ongoing,1,6.1,3544
tt0096560,9,199,1,Coach,1989,1997,1,7,8023
tt0096563,9,1096,1,Cops,1989,2023,1,6.9,6928
tt0096565,5,31,1,The Detectives,1993,1997,1,7.4,1575
tt0096579,9,215,1,Family Matters,1989,1998,1,6.6,29202
tt0096597,9,6810,1,"Goede tijden, slechte tijden",1990,Ongoing,1,3.5,1426
tt0096610,5,65,1,Hey Dude,1989,1991,1,7.2,3346
tt0096626,5,111,1,The Kids in the Hall,1988,2021,1,8.4,10884
tt0096636,9,4753,1,Live with Kelly and Mark,1988,Ongoing,1,4.6,2244
tt0096679,5,43,1,Press Gang,1989,1993,1,8,1052
tt0096684,5,97,1,Quantum Leap,1989,1993,1,8.2,35169
tt0096685,7,144,1,Ranma ½: Nettô-hen,1989,1992,1,8.1,1706
tt0096688,7,186,1,Rescue 911,1989,1996,1,7.5,1030
tt0096697,9,755,1,The Simpsons,1989,Ongoing,1,8.7,425103
tt0096708,7,93,1,Tales from the Crypt,1989,1996,1,8,26180
tt0098740,9,879,1,America's Funniest Home Videos,1989,Ongoing,1,6.2,5657
tt0098749,9,292,1,"Beverly Hills, 90210",1990,2000,1,6.5,36474
tt0098763,6,113,1,Captain Planet and the Planeteers,1990,1996,1,6.7,12336
tt0098774,9,129,1,The Crystal Maze,1990,2020,1,8.1,1802
tt0098780,6,119,1,Dream On,1990,1996,1,7.6,3671
tt0098781,6,66,1,Drop the Dead Donkey,1990,1998,1,8,1515
tt0098800,6,148,1,The Fresh Prince of Bel-Air,1990,1996,1,7.9,141525
tt0098820,9,602,1,Have I Got News for You,1990,Ongoing,1,7.9,5354
tt0098830,5,127,1,In Living Color,1990,1994,1,8.1,12336
tt0098837,5,44,1,Keeping Up Appearances,1990,1995,1,7.8,17260
tt0098844,9,488,1,Law & Order,1990,Ongoing,1,7.8,42203
tt0098878,6,110,1,Northern Exposure,1990,1995,1,8.4,18357
tt0098882,6,44,1,One Foot in the Grave,1990,2001,1,7.9,7081
tt0098900,7,94,1,Road to Avonlea,1990,1996,1,8.5,4704
tt0098904,9,173,1,Seinfeld,1989,1998,1,8.9,339289
tt0098911,9,4303,1,Shortland Street,1992,Ongoing,1,4.5,1030
tt0098945,5,47,1,Waiting for God,1990,1994,1,7.8,1935
tt0098948,8,172,1,Wings,1990,1997,1,7.3,13980
tt0100366,6,158,1,Pingu,1980,2006,1,7.4,7927
tt0101032,8,56,1,2point4 Children,1991,1999,1,6.9,1639
tt0101050,5,114,1,Blossom,1990,1995,1,6.1,8981
tt0101054,7,52,1,The Brittas Empire,1991,1997,1,7.1,3659
tt0101065,5,66,1,Clarissa Explains It All,1991,1994,1,7.1,9451
tt0101069,5,93,1,The Commish,1991,1996,1,7.1,2450
tt0101084,5,56,1,Doug,1991,1994,1,7.4,19713
tt0101114,9,372,1,Heartbeat,1992,2010,1,6.8,3819
tt0101120,8,203,1,Home Improvement,1991,1999,1,7.2,47557
tt0101143,7,45,1,Men Behaving Badly,1992,2014,1,7.7,8511
tt0101177,9,305,1,The Red Green Show,1991,2006,1,8.1,2822
tt0101178,5,55,1,The Ren & Stimpy Show,1991,1996,1,7.5,24110
tt0101188,9,178,1,Rugrats,1991,2006,1,7.4,37403
tt0101198,8,176,1,Silk Stalkings,1991,1999,1,6.5,3098
tt0101199,6,127,1,Sisters,1991,1996,1,7.5,2212
tt0101205,7,160,1,Step by Step,1991,1998,1,6.5,15678
tt0103352,7,91,1,Are You Afraid of the Dark?,1990,2000,1,8.2,15781
tt0103357,9,135,1,Bassie & Adriaan,1978,1996,1,7.5,1002
