tconst,num_seasons,num_episodes,long
tt0081930,8,156,1
tt0081933,9,259,1
tt0081937,7,42,1
tt0081945,5,37,1
tt0081954,9,195,1
tt0083377,5,85,1
tt0083395,7,126,1
tt0083399,9,271,1
tt0083402,9,42,1
tt0083410,6,78,1
tt0083412,6,136,1
tt0083413,7,172,1
tt0083420,5,56,1
tt0083438,6,19,1
tt0083441,9,3172,1
tt0083448,38,1354,1
tt0083451,6,64,1
tt0083452,9,475,1
tt0083455,8,184,1
tt0083458,5,79,1
tt0083470,5,94,1
tt0083475,5,62,1
tt0083478,5,41,1
tt0083479,5,116,1
tt0083483,6,137,1
tt0083486,5,90,1
tt0083496,5,125,1
tt0083504,9,1132,1
tt0084064,5,51,1
tt0084967,5,97,1
tt0084972,8,102,1
tt0084987,9,2405,1
tt0085005,6,39,1
tt0085007,6,39,1
tt0085017,5,96,1
tt0085020,9,26,1
tt0085031,6,85,1
tt0085032,5,116,1
tt0085050,6,130,1
tt0085060,5,75,1
tt0085065,8,72,1
tt0085075,9,161,1
tt0085093,9,150,1
tt0085109,6,150,1
tt0086659,9,85,1
tt0086660,7,80,1
tt0086665,5,40,1
tt0086677,5,115,1
tt0086681,5,126,1
tt0086687,8,197,1
tt0086689,9,1058,1
tt0086692,6,124,1
tt0086697,7,106,1
tt0086699,7,91,1
tt0086708,5,27,1
tt0086729,9,293,1
tt0086730,5,111,1
tt0086734,7,152,1
tt0086742,6,122,1
tt0086744,9,147,1
tt0086757,6,52,1
tt0086759,5,111,1
tt0086764,8,107,1
tt0086765,9,264,1
tt0086770,9,193,1
tt0086771,5,43,1
tt0086779,9,48,1
tt0086800,5,65,1
tt0086807,9,135,1
tt0086810,9,138,1
tt0086811,5,1149,1
tt0086815,9,589,1
tt0086827,8,196,1
tt0088470,5,116,1
tt0088475,9,66,1
tt0088486,9,407,1
tt0088511,5,39,1
tt0088517,9,199,1
tt0088519,9,221,1
tt0088526,7,177,1
tt0088527,7,167,1
tt0088528,6,67,1
tt0088541,6,47,1
tt0088559,7,139,1
tt0088571,5,66,1
tt0088573,6,42,1
tt0088576,6,118,1
tt0088591,6,65,1
tt0088598,9,3133,1
tt0088607,5,35,1
tt0088621,9,177,1
tt0088625,9,130,1
tt0088636,5,60,1
tt0090395,5,110,1
tt0090400,7,93,1
tt0090402,7,74,1
tt0090404,5,40,1
tt0090405,7,34,1
tt0090409,5,1091,1
tt0090417,5,70,1
tt0090418,7,163,1
tt0090440,9,495,1
tt0090442,9,69,1
tt0090444,5,114,1
tt0090447,8,80,1
tt0090466,8,171,1
tt0090472,5,58,1
tt0090477,6,73,1
tt0090481,9,181,1
tt0090493,9,5869,1
tt0090500,5,45,1
tt0090501,8,151,1
tt0090506,7,140,1
tt0090523,9,1175,1
tt0090530,8,126,1
tt0090540,6,110,1
tt0091211,6,152,1
tt0092312,5,102,1
tt0092322,9,1250,1
tt0092336,5,65,1
tt0092339,6,144,1
tt0092355,6,52,1
tt0092359,8,193,1
tt0092362,6,67,1
tt0092379,8,33,1
tt0092381,5,103,1
tt0092389,9,293,1
tt0092400,9,263,1
tt0092401,5,30,1
tt0092429,6,107,1
tt0092433,5,86,1
tt0092455,7,176,1
tt0092456,5,100,1
tt0092479,7,56,1
tt0094415,9,772,1
tt0094416,9,380,1
tt0094443,6,85,1
tt0094455,7,170,1
tt0094456,6,72,1
tt0094460,6,1123,1
tt0094469,7,122,1
tt0094484,8,146,1
tt0094491,5,106,1
tt0094494,5,64,1
tt0094509,7,100,1
tt0094514,9,260,1
tt0094517,9,199,1
tt0094524,5,63,1
tt0094525,9,70,1
tt0094535,9,73,1
tt0094540,9,230,1
tt0094547,9,887,1
tt0094553,6,78,1
tt0094574,9,608,1
tt0094580,9,136,1
tt0094582,6,115,1
tt0096532,8,158,1
tt0096537,6,1363,1
tt0096542,9,242,1
tt0096544,6,65,1
tt0096545,9,129,1
tt0096547,9,349,1
tt0096555,9,1315,1
tt0096560,9,199,1
tt0096563,9,1096,1
tt0096565,5,31,1
tt0096579,9,215,1
tt0096587,9,324,1
tt0096592,8,318,1
tt0096597,9,6810,1
tt0096605,5,105,1
tt0096610,5,65,1
tt0096613,9,84,1
tt0096626,5,111,1
tt0096636,9,4753,1
tt0096641,7,112,1
tt0096651,6,39,1
tt0096658,9,110,1
tt0096679,5,43,1
tt0096684,5,97,1
tt0096685,7,144,1
tt0096688,7,186,1
tt0096697,9,755,1
tt0096708,7,93,1
tt0096727,5,47,1
tt0096729,6,37,1
tt0098740,9,879,1
tt0098749,9,292,1
tt0098763,6,113,1
tt0098774,9,129,1
tt0098780,6,119,1
tt0098781,6,66,1
tt0098784,5,96,1
tt0098794,5,172,1
tt0098800,6,148,1
tt0098820,9,602,1
tt0098830,5,127,1
tt0098837,5,44,1
tt0098844,9,488,1
tt0098869,5,64,1
tt0098878,6,110,1
tt0098882,6,44,1
tt0098883,9,321,1
tt0098896,5,62,1
tt0098900,7,94,1
tt0098903,9,103,1
tt0098904,9,173,1
tt0098911,9,4303,1
tt0098918,7,50,1
tt0098939,7,95,1
tt0098943,5,65,1
tt0098945,5,47,1
tt0098948,8,172,1
tt0100366,6,158,1
tt0101032,8,56,1
tt0101050,5,114,1
