tconst,num_seasons,num_episodes,long
tt0046583,1,2263,0
tt0046584,3,72,0
tt0046585,2,40,0
tt0046587,4,166,0
tt0046588,1,26,0
tt0046589,1,257,0
tt0046591,1,32,0
tt0046592,5,157,1
tt0046593,9,737,1
tt0046594,1,20,0
tt0046595,1,1,0
tt0046596,1,38,0
tt0046597,1,13,0
tt0046598,1,2,0
tt0046600,6,204,1
tt0046603,1,1,0
tt0046604,6,136,1
tt0046605,1,224,0
tt0046606,1,38,0
tt0046607,1,7,0
tt0046608,1,3,0
tt0046609,1,6,0
tt0046610,2,78,0
tt0046611,1,5,0
tt0046612,1,34,0
tt0046613,2,50,0
tt0046614,2,3,0
tt0046615,1,26,0
tt0046616,3,89,0
tt0046617,9,591,1
tt0046618,6,200,1
tt0046620,1,8,0
tt0046621,1,15,0
tt0046622,1,39,0
tt0046623,2,59,0
tt0046624,1,39,0
tt0046625,1,34,0
tt0046627,1,48,0
tt0046628,2,70,0
tt0046629,2,28,0
tt0046633,1,2,0
tt0046634,1,33,0
tt0046635,1,21,0
tt0046636,1,5,0
tt0046637,3,38,0
tt0046638,2,70,0
tt0046639,1,39,0
tt0046640,1,6,0
tt0046641,1,5229,0
tt0046642,1,39,0
tt0046643,4,32,0
tt0046645,2,28,0
tt0046646,2,69,0
tt0046647,2,39,0
tt0046648,4,138,0
tt0046651,1,2,0
tt0046652,3,597,0
tt0046658,1,26,0
tt0046659,7,221,1
tt0046660,2,78,0
tt0046662,1,4,0
tt0046663,1,1,0
tt0046665,1,39,0
tt0046666,1,110,0
tt0046667,1,348,0
tt0047701,1,7,0
tt0047702,2,37,0
tt0047703,1,26,0
tt0047704,1,40,0
tt0047705,1,26,0
tt0047706,4,144,0
tt0047707,2,52,0
tt0047708,7,268,1
tt0047710,1,1,0
tt0047712,1,7,0
tt0047713,2,53,0
tt0047714,2,724,0
tt0047715,2,2,0
tt0047716,1,26,0
tt0047717,2,65,0
tt0047718,26,1272,1
tt0047719,1,10,0
tt0047720,7,108,1
tt0047722,1,26,0
tt0047723,1,39,0
tt0047724,2,78,0
tt0047725,1,39,0
tt0047726,2,53,0
tt0047727,2,40,0
tt0047728,9,432,1
tt0047729,1,1,0
tt0047730,1,38,0
tt0047731,2,12,0
tt0047732,2,27,0
tt0047733,1,31,0
tt0047734,5,116,1
tt0047735,1,40,0
tt0047736,9,635,1
tt0047738,2,39,0
tt0047739,4,156,0
tt0047740,1,5,0
tt0047741,1,74,0
tt0047743,1,26,0
tt0047744,1,1,0
tt0047745,3,96,0
tt0047746,1,40,0
tt0047747,1,26,0
tt0047748,1,7,0
tt0047749,9,1156,1
tt0047750,6,226,1
tt0047751,1,39,0
tt0047752,5,166,1
tt0047753,1,34,0
tt0047754,1,13,0
tt0047755,3,28,0
tt0047756,3,576,0
tt0047757,3,331,0
tt0047758,6,207,1
tt0047759,1,10,0
tt0047760,3,64,0
tt0047761,1,13,0
tt0047762,3,104,0
tt0047763,4,143,0
tt0047764,1,20,0
tt0047765,1,18,0
tt0047766,1,6,0
tt0047767,2,78,0
tt0047768,1,35,0
tt0047770,1,21,0
tt0047771,1,26,0
tt0047772,1,24,0
tt0047773,2,52,0
tt0047774,1,11,0
tt0047775,1,26,0
tt0047776,1,40,0
tt0047777,1,39,0
tt0047779,1,9,0
tt0047780,2,65,0
tt0047781,3,52,0
tt0047783,2,26,0
tt0047784,2,4,0
tt0047786,1,15,0
tt0048837,1,11,0
tt0048838,1,13,0
tt0048839,1,26,0
tt0048840,2,76,0
tt0048841,1,30,0
tt0048842,1,26,0
tt0048844,1,1,0
tt0048845,6,10345,1
tt0048846,1,8,0
tt0048847,3,6,0
tt0048848,2,72,0
tt0048849,1,26,0
tt0048850,1,39,0
tt0048851,1,13,0
tt0048853,1,12,0
tt0048854,1,1,0
tt0048855,2,49,0
tt0048856,1,13,0
tt0048857,1,4,0
tt0048858,1,40,0
tt0048859,1,67,0
tt0048860,1,7318,0
tt0048861,1,14,0
tt0048862,1,14,0
tt0048863,4,127,0
tt0048864,1,10,0
tt0048865,2,26,0
tt0048866,1,1,0
tt0048867,1,1,0
tt0048868,2,32,0
tt0048869,1,2,0
tt0048871,1,6,0
tt0048872,1,39,0
tt0048875,1,3,0
tt0048877,1,4,0
tt0048878,1,38,0
tt0048879,1,39,0
tt0048880,1,25,0
tt0048881,5,43,1
tt0048882,1,35,0
tt0048884,1,9,0
tt0048885,2,39,0
tt0048887,1,39,0
tt0048888,1,7,0
tt0048889,1,18,0
tt0048890,1,24,0
tt0048892,2,41,0
tt0048893,4,134,0
tt0048895,1,30,0
tt0048897,1,9,0
tt0048898,1,19,0
tt0048899,5,165,1
tt0048901,1,26,0
tt0048903,3,81,0
tt0048904,5,188,1
tt0048906,2,6,0
tt0048907,9,2028,1
tt0048908,1,5,0
tt0048909,1,7,0
tt0048910,2,22,0
tt0048911,1,13,0
tt0048912,1,14,0
tt0048913,1,39,0
tt0048914,1,39,0
tt0048916,5,146,1
tt0049991,2,78,0
tt0049992,3,65,0
tt0049993,9,1668,1
tt0049994,1,17,0
tt0049995,1,26,0
tt0049996,5,157,1
tt0049998,1,35,0
tt0049999,1,26,0
tt0050000,1,39,0
tt0050002,2,69,0
tt0050004,2,24,0
tt0050005,1,39,0
tt0050006,3,67,0
tt0050007,1,26,0
tt0050009,2,33,0
tt0050010,1,39,0
tt0050011,1,25,0
tt0050012,6,59,1
tt0050013,4,34,0
tt0050014,2,27,0
tt0050015,1,26,0
tt0050016,1,26,0
tt0050017,1,33,0
tt0050018,1,23,0
tt0050019,1,1,0
tt0050020,1,13,0
tt0050021,1,39,0
tt0050022,3,125,0
tt0050023,1,39,0
tt0050024,1,27,0
tt0050025,6,225,1
tt0050026,1,39,0
tt0050028,1,2,0
tt0050029,1,167,0
tt0050030,5,1159,1
tt0050032,6,236,1
tt0050033,3,13,0
tt0050034,1,19,0
tt0050035,3,117,0
tt0050036,1,1,0
tt0050037,5,124,1
tt0050038,1,42,0
tt0050039,2,78,0
tt0050041,1,4,0
tt0050042,2,66,0
tt0050043,1,39,0
tt0050044,1,39,0
tt0050045,1,40,0
tt0050046,1,26,0
tt0050047,1,40,0
tt0050049,2,31,0
tt0050050,3,68,0
tt0050051,9,271,1
tt0050052,1,19,0
tt0050053,6,225,1
